Volatility 3 Framework 2.21.0

Offset	Name
0x850baedd9ac0	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package04~31bf3856ad364e35~amd64~~10.0.19041.5371.cat
0x850baedd9c30	\Windows\System32\drivers\netbt.sys
0x850baedda080	\Windows\System32\drivers\pacer.sys
0x850baedda360	\Windows\System32\drivers\ndiscap.sys
0x850baedda7b0	\Windows\System32\drivers\netbios.sys
0x850baeddaa90	\Windows\System32\drivers\Vid.sys
0x850baeddad70	\Windows\System32\drivers\winhvr.sys
0x850baeddaee0	\Windows\System32\drivers\afunix.sys
0x850baeddb4a0	\Windows\System32\drivers\afd.sys
0x850baeddb8f0	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Features-Package0317~31bf3856ad364e35~amd64~~10.0.19041.5369.cat
0x850baeddba60	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package05112~31bf3856ad364e35~amd64~~10.0.19041.5369.cat
0x850baeddbd40	\Windows\System32\drivers\rdbss.sys
0x850baeddc300	\Windows\System32\drivers\npsvctrig.sys
0x850baeddc470	\Windows\System32\drivers\mssmbios.sys
0x850baeddc750	\Windows\System32\drivers\gpuenergydrv.sys
0x850baeddca30	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package~31bf3856ad364e35~amd64~~10.0.19041.5371.cat
0x850baeddce80	\Windows\System32\drivers\dfsc.sys
0x850baee610c0	\ProtectedPrefix\NetWorkService
0x850baee61250	\Windows\SysWOW64\ws2_32.dll
0x850baee613e0	\Windows\SysWOW64\coml2.dll
0x850baee61570	\Windows\SysWOW64\psapi.dll
0x850baee61700	\Windows\SysWOW64\normaliz.dll
0x850baee61890	\Windows\SysWOW64\gdi32.dll
0x850baee61a20	\ProtectedPrefix
0x850baee61bb0	\Windows\SysWOW64\wintrust.dll
0x850baee61d40	\Windows\SysWOW64\difxapi.dll
0x850baee61ed0	\Windows\SysWOW64\ucrtbase.dll
0x850baee621f0	\Windows\SysWOW64\KernelBase.dll
0x850baee62380	\ProtectedPrefix
0x850baee62510	\ProtectedPrefix\Administrators
0x850baee626a0	\Windows\SysWOW64\shell32.dll
0x850baee62830	\ProtectedPrefix\Administrators
0x850baee629c0	\ProtectedPrefix\LocalService
0x850baee62b50	\Windows\SysWOW64\msctf.dll
0x850baee62ce0	\Windows\SysWOW64\combase.dll
0x850baee62e70	\ProtectedPrefix\LocalService
0x850baeea30b0	\Windows\bootstat.dat
0x850baeea3500	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-CoreSystem-RemoteFS-Client-Package~31bf3856ad364e35~amd64~~10.0.19041.3758.cat
0x850baeea3c30	\Windows\System32\drivers\dam.sys
0x850baeea41f0	\Windows\System32\drivers\bam.sys
0x850baeea4360	\Windows\System32\drivers\ahcache.sys
0x850baeea4a90	\Windows\apppatch\sysmain.sdb
0x850baeea4d70	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package0519~31bf3856ad364e35~amd64~~10.0.19041.3803.cat
0x850baeea5330	\Windows\System32\drivers\fastfat.sys
0x850baeea54a0	\$Directory
0x850baeea6470	\$Directory
0x850baeea65e0	\Windows\System32\drivers\hdaudbus.sys
0x850baeea6750	\Windows\System32\smss.exe
0x850baeea6e80	\Windows\System32\DriverStore\FileRepository\compositebus.inf_amd64_7500cffa210c6946\CompositeBus.sys
0x850baeec1230	\Windows\System32\drivers\vmmouse.sys
0x850baeec1680	\Windows\System32\drivers\serial.sys
0x850baeec17f0	\$ConvertToNonresident
0x850baeec1ad0	\Windows\System32\DriverStore\FileRepository\umbus.inf_amd64_b78a9c5b6fd62c27\umbus.sys
0x850baeec2090	\Windows\System32\drivers\mouclass.sys
0x850baeec2200	\Windows\System32\drivers\serenum.sys
0x850baeec2370	\$Directory
0x850baeec24e0	\$Directory
0x850baeec2650	\$ConvertToNonresident
0x850baeec27c0	\$Directory
0x850baeec2c10	\Windows\System32\drivers\i8042prt.sys
0x850baeec2d80	\$Directory
0x850baeec2ef0	\$Directory
0x850baeec3340	\Windows\System32\drivers\kdnic.sys
0x850baeec3620	\Windows\System32\drivers\kbdclass.sys
0x850baeec3be0	\$Directory
0x850baeec4310	\Windows\System32\drivers\ks.sys
0x850baeec45f0	\Windows\System32\drivers\vm3dmp.sys
0x850baeec4760	\Windows\System32\drivers\usbehci.sys
0x850baeec4d20	\Windows\System32\drivers\e1i65x64.sys
0x850baeec4e90	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package00~31bf3856ad364e35~amd64~~10.0.19041.5198.cat
0x850baeec5170	\Windows\System32\drivers\USBXHCI.SYS
0x850baeec55c0	\Windows\System32\drivers\Ucx01000.sys
0x850baeec5a10	\Windows\System32\drivers\usbuhci.sys
0x850baeec5b80	\Windows\System32\drivers\vm3dmp_loader.sys
0x850baeec5e60	\Windows\System32\drivers\portcls.sys
0x850baeec62b0	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package01~31bf3856ad364e35~amd64~~10.0.19041.3803.cat
0x850baeec6590	\Windows\System32\drivers\drmk.sys
0x850baeec6870	\Windows\System32\drivers\usbport.sys
0x850baeec69e0	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Desktop-Required-Package05110~31bf3856ad364e35~amd64~~10.0.19041.3803.cat
0x850baeec6cc0	\Windows\System32\drivers\rdpbus.sys
0x850baeec6e30	\Windows\System32\drivers\NdisVirtualBus.sys
0x850baeec7560	\Windows\System32\drivers\vmgencounter.sys
0x850baeec76d0	\Windows\System32\drivers\battc.sys
0x850baeec7c90	\Windows\System32\CatRoot\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\Microsoft-Windows-Client-Features-Package0316~31bf3856ad364e35~amd64~~10.0.19041.5129.cat
0x850baeec83c0	\Windows\System32\DriverStore\FileRepository\swenum.inf_amd64_16a14542b63c02af\swenum.sys
0x850baeec8c60	\Windows\System32\drivers\amdppm.sys
0x850baeec8dd0	\Windows\System32\drivers\CmBatt.sys
0x850baef8e730	\Windows\System32\drivers\usbd.sys
0x850baef8e8a0	\Windows\System32\drivers\usbhub.sys
0x850baef906d0	\Windows\System32\drivers\en-US\USBXHCI.SYS.mui
0x850baef90840	\$Directory
0x850baef909b0	\Windows\System32\drivers\USBHUB3.SYS
0x850baef920c0	\Windows\System32\advapi32.dll
0x850baef92250	\Windows\System32\clbcatq.dll
0x850baef923e0	\Windows\System32\shlwapi.dll
0x850baef92570	\Windows\System32\wow64.dll
0x850baef92700	\Windows\System32\oleaut32.dll
0x850baef92890	\Windows\System32\ole32.dll
0x850baef92a20	\Windows\System32\comdlg32.dll
0x850baef92bb0	\Windows\System32\imagehlp.dll
0x850baef92d40	\Windows\System32\Wldap32.dll
0x850baef92ed0	\Windows\System32\nsi.dll
0x850baef931f0	\Windows\System32\ws2_32.dll
0x850baef93380	\Windows\System32\combase.dll
0x850baef93510	\Windows\System32\sechost.dll
0x850baef936a0	\Windows\System32\kernel32.dll
0x850baef93830	\Windows\System32\wow64cpu.dll
0x850baef939c0	\Windows\System32\normaliz.dll
0x850baef93b50	\Windows\System32\difxapi.dll
0x850baef93ce0	\Windows\System32\user32.dll
0x850baef93e70	\Windows\System32\msvcrt.dll
0x850baef940c0	\Windows\SysWOW64\msvcp_win.dll
0x850baef94250	\Windows\System32\ucrtbase.dll
0x850baef943e0	\Windows\SysWOW64\SHCore.dll
0x850baef94570	\Windows\SysWOW64\imagehlp.dll
0x850baef94700	\Windows\System32\crypt32.dll
0x850baef94890	\Windows\System32\wintrust.dll
0x850baef94a20	\Windows\SysWOW64\ole32.dll
0x850baef94bb0	\Windows\System32\gdi32full.dll
0x850baef94d40	\Windows\System32\comctl32.dll
0x850baef94ed0	\Windows\System32\KernelBase.dll
0x850baef951f0	\Windows\System32\bcrypt.dll
0x850baef95380	\Windows\System32\cfgmgr32.dll
0x850baef95510	\Windows\System32\gdi32.dll
0x850baef956a0	\Windows\System32\msvcp_win.dll
0x850baef95830	\Windows\System32\win32u.dll
0x850baef959c0	\Windows\SysWOW64\win32u.dll
0x850baef95b50	\Windows\SysWOW64\nsi.dll
0x850baef95ce0	\Windows\SysWOW64\advapi32.dll
0x850baef95e70	\Windows\System32\bcryptprimitives.dll
0x850baefe00c0	\Windows\SysWOW64\cfgmgr32.dll
0x850baefe0250	\Windows\SysWOW64\oleaut32.dll
0x850baefe03e0	\Windows\SysWOW64\Wldap32.dll
0x850baefe0570	\Windows\SysWOW64\bcryptprimitives.dll
0x850baefe0700	\Windows\SysWOW64\gdi32full.dll
0x850baefe0890	\Windows\SysWOW64\comctl32.dll
0x850baefe0a20	\Windows\SysWOW64\msvcrt.dll
0x850baefe0bb0	\Windows\SysWOW64\crypt32.dll
0x850baefe0d40	\Windows\SysWOW64\kernel32.dll
0x850baefe0ed0	\Windows\SysWOW64\user32.dll
0x850baefe11f0	\Windows\SysWOW64\setupapi.dll
0x850baefe1380	\Windows\SysWOW64\clbcatq.dll
0x850baefe1510	\Windows\SysWOW64\rpcrt4.dll
0x850baefe16a0	\Windows\SysWOW64\shlwapi.dll
0x850baefe1830	\Windows\SysWOW64\sechost.dll
